transformer,encoder,model,split_number,fit_time,score_time,test_r2,train_r2,test_mean_absolute_error,train_mean_absolute_error,test_mean_squared_error,train_mean_squared_error,test_root_mean_squared_error,train_root_mean_squared_error,test_mean_absolute_percentage_error,train_mean_absolute_percentage_error
StandardScaler,HelmertEncoder,DecisionTreeRegressor,3,9.669981956481934,0.10402774810791016,0.9959186226723831,0.9999180704120756,0.08315332875785313,0.0010670876024401618,0.02491725993247297,0.0005026392950748045,0.15785201909533172,0.02241961853098318,1388895860409.0598,0.00016096904446562255
StandardScaler,HelmertEncoder,DecisionTreeRegressor,4,9.738649606704712,0.10671687126159668,0.9964690135139306,0.9999215763086832,0.08245036779966966,0.001034651498057063,0.02178991690761646,0.00047983642346292226,0.1476140809937062,0.02190516887547143,1157509735300.1194,0.00015598089529348204
StandardScaler,HelmertEncoder,GradientBoostingRegressor,0,129.66242957115173,0.3405032157897949,0.9856612039069803,0.9857263696505838,0.21271692226113775,0.2123698263289757,0.08829285626892976,0.08738150581505513,0.29714113863436975,0.29560362957016467,24104621296993.168,23097621712889.266
StandardScaler,HelmertEncoder,GradientBoostingRegressor,1,129.05389547348022,0.368131160736084,0.9856303156280212,0.9857396696233666,0.21239531177387372,0.21234418043469697,0.08806365090880855,0.08740427951462355,0.29675520367604097,0.295642147730366,22761889906975.65,22386324691989.85
StandardScaler,HelmertEncoder,GradientBoostingRegressor,2,128.1654829978943,0.335848331451416,0.9856338248176716,0.9857539687012091,0.21293368550120087,0.2121506099138191,0.08738532136886351,0.08747888363652662,0.29561008333421834,0.2957682938323961,22545536637394.402,23438256977149.742
StandardScaler,HelmertEncoder,GradientBoostingRegressor,3,127.91032409667969,0.33406996726989746,0.9858833608394111,0.9858409253799129,0.2117794022642531,0.21210187060121713,0.08618364319250518,0.08686614282151395,0.2935705080427957,0.29473062755932566,24660230498073.727,24798597684306.27
StandardScaler,HelmertEncoder,GradientBoostingRegressor,4,126.34387588500977,0.3022799491882324,0.9859289805157914,0.9857113216292529,0.21213961779424276,0.2127046774565363,0.08683305545801348,0.0874254732251325,0.2946744906808417,0.29567798907786913,24588778377633.77,24843156570735.414
StandardScaler,SumEncoder,LinearRegression,0,2.283872127532959,0.047330617904663086,0.9821511528790005,0.9821768084126071,0.24705819455741257,0.24718597280376473,0.10990641635441761,0.10911150710865308,0.3315213663618344,0.33032030986400623,88678040426615.14,87812401662272.1
StandardScaler,SumEncoder,LinearRegression,1,2.604426145553589,0.08968377113342285,0.9820625669444122,0.9821980474193119,0.2475024491066425,0.24704183019747303,0.109928360422984,0.1091115561963483,0.3315544607194782,0.3303203841671723,88129894301048.69,87411951603661.1
StandardScaler,SumEncoder,LinearRegression,2,2.8297781944274902,0.05278420448303223,0.9820603132006411,0.9821983864498489,0.24749566545604706,0.24697054879549465,0.1091219671431469,0.10931221809320711,0.3303361426534295,0.33062398293712314,86447104751564.17,87616741276668.61
