iter	Passed	Remaining
822	59157	12722
823	59227	12650
824	59305	12579
825	59385	12509
826	59462	12439
827	59527	12365
828	59591	12292
829	59657	12219
830	59726	12146
831	59795	12074
832	59857	12000
833	59936	11929
834	59984	11853
835	60050	11780
836	60124	11708
837	60178	11633
838	60224	11556
839	60284	11482
840	60357	11411
841	60423	11338
842	60490	11265
843	60569	11195
844	60633	11122
845	60697	11048
846	60762	10975
847	60839	10905
848	60916	10834
849	60995	10763
850	61065	10691
851	61139	10620
852	61193	10545
853	61256	10472
854	61331	10401
855	61401	10329
856	61470	10257
857	61553	10187
858	61635	10117
859	61696	10043
860	61761	9970
861	61843	9900
862	61901	9826
863	61955	9752
864	62041	9682
865	62112	9610
866	62191	9540
867	62265	9468
868	62340	9397
869	62409	9325
870	62477	9253
871	62536	9179
872	62592	9105
873	62655	9032
874	62720	8960
875	62795	8888
876	62871	8817
877	62943	8746
878	63010	8673
879	63077	8601
880	63134	8527
881	63201	8455
882	63267	8383
883	63332	8310
884	63400	8238
885	63480	8167
886	63556	8096
887	63629	8025
888	63694	7952
889	63767	7881
890	63848	7810
891	63905	7737
892	63968	7664
893	64025	7591
894	64112	7521
895	64176	7449
896	64227	7375
897	64282	7301
898	64339	7228
899	64412	7156
900	64497	7086
901	64582	7016
902	64635	6943
903	64699	6870
904	64754	6797
905	64810	6724
906	64872	6651
907	64931	6579
908	64998	6507
909	65067	6435
910	65131	6362
911	65186	6289
912	65237	6216
913	65310	6145
914	65373	6072
915	65422	5999
916	65491	5927
917	65555	5855
918	65617	5783
919	65702	5713
920	65785	5642
921	65850	5570
922	65923	5499
923	65987	5427
924	66063	5356
925	66140	5285
926	66192	5212
927	66262	5141
928	66313	5068
929	66387	4996
930	66469	4926
931	66553	4855
932	66636	4785
933	66702	4713
934	66771	4641
935	66820	4568
936	66873	4496
937	66959	4425
938	67009	4353
939	67065	4280
940	67130	4209
941	67197	4137
942	67287	4067
943	67349	3995
944	67396	3922
945	67452	3850
946	67510	3778
947	67578	3706
948	67637	3634
949	67721	3564
950	67781	3492
951	67844	3420
952	67910	3349
953	67961	3276
954	68025	3205
955	68092	3133
956	68158	3062
957	68220	2990
958	68278	2919
959	68331	2847
960	68410	2776
961	68478	2704
962	68557	2634
963	68626	2562
964	68702	2491
965	68766	2420
966	68834	2349
967	68888	2277
968	68960	2206
969	69024	2134
970	69083	2063
971	69146	1991
972	69217	1920
973	69282	1849
974	69340	1777
975	69389	1706
976	69441	1634
977	69497	1563
978	69553	1491
979	69607	1420
980	69671	1349
981	69733	1278
982	69789	1206
983	69850	1135
984	69925	1064
985	69974	993
986	70044	922
987	70108	851
988	70175	780
989	70227	709
990	70302	638
991	70354	567
992	70438	496
993	70495	425
994	70575	354
995	70646	283
996	70727	212
997	70805	141
998	70898	70
999	70954	0
