P,Q,Fold Number,RMSE,RSS,MSE,MAE,MAPE,R2,durbin_watson,aic,bic
3,3,1,0.33848100334326325,129.23427149616774,0.11456938962426218,0.20887381912923134,0.008304792780344976,0.9947416917817405,2.00332134077279,-2429.896167554416,-2394.69875753001
3,3,2,0.3242603796651154,118.60332742959707,0.10514479382056471,0.20023582066703788,0.008432473821400523,0.9953989699554078,2.0048413048870466,-2526.726251907755,-2491.528841883349
3,3,3,0.31480950828141,111.79046989694422,0.09910502650438302,0.19082198788557625,0.008273820502197228,0.9957043540534773,1.9906797040924642,-2593.456732421356,-2558.2593223969498
3,3,4,0.3731403447510941,157.0556326417289,0.13923371688096525,0.22361407467519615,0.010545940015701421,0.9948670822526026,1.9954351620915574,-2209.96631314392,-2174.768903119514
3,3,5,0.38936556017802876,171.01104850270215,0.15160553945275015,0.2328194275918549,0.01164498189840472,0.9948213400573184,1.9952969950574118,-2113.941844629642,-2078.744434605236
3,3,6,0.38659191173258783,168.5833294128403,0.14945330621705702,0.23188743359085867,0.012077141310995094,0.9947666043711769,2.003899867725595,-2130.0699902293027,-2094.8725802048966
3,4,0,0.3659987472736724,151.1013336306524,0.13395508300589776,0.22617897776669343,0.008484469113263561,0.9923296111516003,1.951309950532173,-2251.562830966369,-2211.337219509905
3,4,1,0.33789448141973083,128.78678368736917,0.11417268057390889,0.20747237976436694,0.008250391520764538,0.9947598992494295,1.9919566277084975,-2431.8087688268115,-2391.5831573703476
3,4,2,0.33305097976243486,125.1210933761697,0.11092295512071781,0.2058468626451531,0.008665134786631785,0.9951461234493804,1.8941660851152267,-2464.381102013802,-2424.155490557338
3,4,3,0.3228306722282529,117.5597572265579,0.10421964293134552,0.19629841933908151,0.00851541141764788,0.9954826641745939,1.8837902013807193,-2534.6952515301728,-2494.469640073709
3,4,4,0.3681209018678947,152.8586621862123,0.1355129983920321,0.21813889539601727,0.010283798702012032,0.9950042483241026,2.0583345270687823,-2238.5197415846565,-2198.2941301281926
3,4,5,0.3837174764956365,166.08570679450628,0.14723910176817917,0.22690727215285122,0.011291858448178711,0.9949704922321725,2.0489404038262395,-2144.9067472322076,-2104.6811357757438
3,4,6,0.3824553746551351,164.99494414373254,0.14627211360259976,0.2267384961781537,0.011745299247612818,0.9948779999631806,2.031429122997161,-2152.3392850030646,-2112.1136735466007
3,5,0,0.3596965875668803,145.94248440098744,0.12938163510725836,0.2219937730784866,0.008328503346992602,0.9925914909024338,2.0014260175420593,-2288.747400718693,-2243.493587830171
3,5,1,0.3358080676517527,127.20124176240463,0.11276705830000397,0.20758190016299635,0.008255128759908852,0.9948244120759261,2.0212152206143985,-2443.7821893379014,-2398.5283764493793
