P,Q,RMSE,RSS,MSE,MAE,MAPE,R2,durbin_watson,aic,bic
6,7,0.36187368039047546,148.7433283103897,0.1318646527574376,0.22049226486620102,0.009875281365912243,0.9945143493643805,1.9307909925636273,-2272.992699011247,-2202.597878962435
6,8,0.3404359669837777,130.93466965493738,0.11607683480047637,0.2108825446155813,0.008379829886338603,0.9942615079589542,2.011360215394404,-2402.6400811735098,-2327.2170596926403
6,9,0.3413139395030735,131.62134571885463,0.1166855901762896,0.21163139154722407,0.008410952481446831,0.9942296577028521,2.005096212583554,-2394.914508302621,-2314.463285389693
6,10,0.35000033052802726,138.375632878128,0.12267343340259579,0.21704694175859918,0.008381346213173983,0.9936203294669235,1.9996918925181406,-2335.9925805151834,-2250.5131561701974
7,1,0.3544569338663111,142.5514132688874,0.12637536637312705,0.2145860643622671,0.00957856924781869,0.9947149991892058,2.0036507504088776,-2328.571500487441,-2283.317687598919
7,2,0.35518827405151854,143.13176194959405,0.1268898598843919,0.21574021137082933,0.009648308217069407,0.9946960398360961,1.9990523607534816,-2321.828144315762,-2271.546129995182
7,3,0.3553338686468336,143.27250123799143,0.12701462875708458,0.21660071552951007,0.009691751475620139,0.9946948129336052,2.0060241675440795,-2319.1012798347097,-2263.791064082071
7,4,0.35575794553824414,143.65823946720943,0.12735659527234874,0.21609923227616898,0.009668472882276803,0.9946805512588378,2.002292108302867,-2314.7544044292727,-2254.415987244577
7,5,0.34898739624684105,137.54711560015613,0.1219389322696418,0.21560323277157828,0.008328467584785743,0.993662519714042,2.013102264661553,-2350.2949080686117,-2284.9282894518574
7,6,0.3490467537774611,137.5863731130804,0.12197373502932651,0.2157750978537997,0.008334225424589631,0.9936618147360841,2.0081384397618764,-2347.849302147687,-2277.454482098875
7,7,0.34180854392752363,132.0440389237626,0.11706031819482489,0.21160227284282285,0.008406600584234031,0.9942066140370821,2.0023654520975445,-2393.998314839819,-2318.575293358949
7,8,0.34448214770462376,134.03522141487153,0.1188255508997088,0.21329797118306226,0.00847684458526886,0.9941311273055105,1.9668974264172963,-2373.7401758648193,-2293.288952951891
7,9,0.3495186624759462,137.94657019215123,0.12229305868098514,0.21618700549851477,0.008348200097359714,0.9936470484496034,2.0023050760130676,-2338.702223807035,-2253.222799462049
7,10,0.36257279689570343,148.28578927901597,0.13145903304877296,0.22412077057234456,0.008413323334763875,0.992472537222986,1.980729057652769,-2252.7796931439484,-2162.272067366904
8,1,0.3551294505613621,143.1032492498012,0.1268645826682635,0.21698465407852055,0.00970208348883624,0.9946925865305956,1.9917012463457968,-2322.353973225459,-2272.071958904879
8,2,0.35632838730581806,144.09729224233624,0.12774582645597188,0.2165957710043513,0.009692242522143835,0.9946676899780819,1.9944658719742332,-2312.93094576094,-2257.620730008302
8,3,0.3559919995183919,143.8528185348984,0.1275290944458319,0.21725581578752057,0.009724258336463263,0.9946726239261121,2.0018001561120276,-2313.3343063990665,-2252.9958892143704
8,4,0.3502264853537975,138.51166999219052,0.1227940336810199,0.21659597476502757,0.008362939994580775,0.9936201356584218,1.9976785399655927,-2342.18557870857,-2276.8189600918163
8,5,0.34996450947458474,138.2958665903128,0.12260271860843329,0.2164911772891303,0.008360601641889197,0.9936314050561142,2.001311538811914,-2341.8029366443493,-2271.408116595537
8,6,0.3498969248453378,138.24693844390922,0.12255934259211801,0.21602706172404534,0.008341131937113146,0.9936329654874927,1.9993070231188796,-2340.2752995933724,-2264.852278112503
8,7,0.3583941897005798,145.84894722375898,0.12929871207780053,0.2187417398177502,0.00979964097412809,0.9946093393637844,1.9878836215643065,-2290.46449205757,-2210.013269144642
8,8,0.34967127700960654,138.0685693511512,0.12240121396378642,0.21686279340615666,0.008381987355488781,0.9936411982007829,2.0030873580063417,-2337.7297072142555,-2252.2502828692695
9,1,0.3544591361694906,142.4805118123799,0.126312510471968,0.21527054104837598,0.009613923744340171,0.9947135428243062,2.006297930150418,-2323.978962744385,-2268.6687469917474
9,2,0.3353871801627301,127.2483392573476,0.11280881139835772,0.20663464813510696,0.008385122934875347,0.9945694629539135,1.9925542768632716,-2443.8317471882638,-2383.4933300035677
9,3,0.34234468902640275,132.45162786813907,0.11742165591147087,0.21266778317613833,0.008446712622147292,0.9941888964000046,1.9959150323453632,-2394.3971008620756,-2329.0304822453213
